Address,Data
0,30000
4,8
8,20056
12,40384
16,-128
20,7
24,40004
28,30004
32,7
36,20084
40,7
44,-128
48,20000
52,40136
56,30008
60,7
64,-128
68,4
72,20028
76,40268
80,30012
84,7
88,-128
20000,0
20004,1
20008,2
20012,3
20016,4
20020,5
20024,6
20028,7
20032,8
20036,9
20040,10
20044,11
20048,12
20052,13
20056,14
20060,15
20064,16
20068,17
20072,18
20076,19
20080,20
20084,21
20088,22
20092,23
20096,24
20100,25
20104,26
20108,27
20112,28
20116,29
20120,30
20124,31
20128,32
20132,33
20136,34
20140,35
20144,36
20148,37
20152,38
20156,39
20160,40
20164,41
20168,42
20172,43
20176,44
20180,45
20184,46
20188,47
20192,48
20196,49
20200,50
20204,51
20208,52
20212,53
20216,54
20220,55
20224,56
20228,57
20232,58
20236,59
20240,60
20244,61
20248,62
20252,63
20256,64
20260,65
20264,66
20268,67
20272,68
20276,69
20280,70
20284,71
20288,72
20292,73
20296,74
20300,75
20304,76
20308,77
20312,78
20316,79
20320,80
20324,81
20328,82
20332,83
20336,84
20340,85
20344,86
20348,87
20352,88
20356,89
20360,90
20364,91
20368,92
20372,93
20376,94
20380,95
20384,96
20388,97
20392,98
20396,99
20400,100
20404,101
20408,102
20412,103
20416,104
20420,105
20424,106
20428,107
20432,108
20436,109
20440,110
20444,111
30000,100
30004,101
30008,102
30012,103
30016,104
30020,105
30024,106
30028,107
30032,108
30036,109
30040,110
30044,111
30048,112
30052,113
30056,114
30060,115
30064,116
30068,117
30072,118
30076,119
30080,120
30084,121
30088,122
30092,123
30096,124
30100,125
30104,126
30108,127
30112,128
30116,129
30120,130
30124,131
30128,132
30132,133
30136,134
30140,135
30144,136
30148,137
30152,138
30156,139
30160,140
30164,141
30168,142
30172,143
30176,144
30180,145
30184,146
30188,147
30192,148
30196,149
30200,150
30204,151
30208,152
30212,153
30216,154
30220,155
30224,156
30228,157
30232,158
30236,159
30240,160
30244,161
30248,162
30252,163
30256,164
30260,165
30264,166
30268,167
30272,168
30276,169
30280,170
30284,171
30288,172
30292,173
30296,174
30300,175
30304,176
30308,177
30312,178
30316,179
30320,180
30324,181
30328,182
30332,183
30336,184
30340,185
30344,186
30348,187
30352,188
30356,189
30360,190
30364,191
30368,192
30372,193
30376,194
30380,195
30384,196
30388,197
30392,198
30396,199
30400,200
30404,201
30408,202
30412,203
30416,204
30420,205
30424,206
30428,207
30432,208
30436,209
30440,210
30444,211
30448,212
30452,213
30456,214
30460,215
30464,216
30468,217
30472,218
30476,219
30480,220
30484,221
30488,222
30492,223
30496,224
30500,225
30504,226
30508,227
30512,228
30516,229
30520,230
30524,231
30528,232
30532,233
30536,234
30540,235
30544,236
30548,237
30552,238
30556,239
30560,240
30564,241
30568,242
30572,243
30576,244
30580,245
30584,246
30588,247
30592,248
30596,249
30600,250
30604,251
30608,252
30612,253
30616,254
30620,255
30624,256
30628,257
30632,258
30636,259
30640,260
30644,261
30648,262
30652,263
30656,264
30660,265
30664,266
30668,267
30672,268
30676,269
30680,270
30684,271
30688,272
30692,273
30696,274
30700,275
30704,276
30708,277
30712,278
30716,279
30720,280
30724,281
30728,282
30732,283
30736,284
30740,285
30744,286
30748,287
30752,288
30756,289
30760,290
30764,291
30768,292
30772,293
30776,294
30780,295
30784,296
30788,297
30792,298
30796,299
30800,300
30804,301
30808,302
30812,303
30816,304
30820,305
30824,306
30828,307
30832,308
30836,309
30840,310
30844,311
30848,312
30852,313
30856,314
30860,315
30864,316
30868,317
30872,318
30876,319
30880,320
30884,321
30888,322
30892,323
